"Numéro","Nom","Rang","Bac","","Bulletins","L. Motiv.","Libre","Limite","Ent. FA","Remarque","","EVALN"
"675201","#REF!","1024/1724","STI2D Système informatique et numérique","","0","0","-0.5","","","","",""
"675259","#REF!","878/1724","STI2D Système informatique et numérique","","0","0","-0.5","","","","",""
"688636","#REF!","492/1724","STI2D Système informatique et numérique","","1","0.5","","","","","",""
"688745","#REF!","1059/1724","STI2D Système informatique et numérique","","-1","0.5","","","","","",""
"688878","#REF!","984/1724","STI2D Système informatique et numérique","","-1","0.5","","","","","",""
"688887","#REF!","969/1724","STI2D Système informatique et numérique","","0","-0.5","-0.5","","","","",""
"695200","#REF!","1239/1724","STI2D Système informatique et numérique","","-2","0.5","","","","","",""
"708673","#REF!","1100/1724","STI2D Système informatique et numérique","","-1","0","-0.5","","","","",""
"730965","#REF!","705/1724","STI2D Système informatique et numérique","","-2","0","","","","","",""
"731062","#REF!","596/1724","STI2D Système informatique et numérique","","1","0","","","","","",""
"731086","#REF!","1147/1724","STI2D Système informatique et numérique","","-0.5","-0.5","-0.5","","","","",""
"731107","#REF!","962/1724","STI2D Système informatique et numérique","","-0.5","-0.5","-0.5","","","","",""
"734877","#REF!","635/1724","STI2D Système informatique et numérique","","1","0","","","","","",""
"734913","#REF!","591/1724","STI2D Système informatique et numérique","","1","-0.5","","","","","",""
"734948","#REF!","805/1724","STI2D Système informatique et numérique","","1","0.5","","","","","",""
"777148","#REF!","553/1724","STI2D Système informatique et numérique","","1","-0.5","","","","","",""
"778372","#REF!","1073/1724","STI2D Système informatique et numérique","","0","-0.5","","","","","",""
"822024","#REF!","1062/1724","STI2D Système informatique et numérique","","-0.5","-0.5","-0.5","","","","",""
"822027","#REF!","996/1724","STI2D Système informatique et numérique","","-0.5","-0.5","","","","","",""
"822061","#REF!","989/1724","STI2D Système informatique et numérique","","-0.5","-0.5","","","","","",""
"822068","#REF!","609/1724","STI2D Système informatique et numérique","","0","-0.5","","","","","",""
"822118","#REF!","507/1724","STI2D Système informatique et numérique","","1","-0.5","","","","","",""
"822158","#REF!","600/1724","STI2D Système informatique et numérique","","0","0","","","","","",""
"822179","#REF!","587/1724","STI2D Système informatique et numérique","","0","-0.5","","","","","",""
"1031817","#REF!","566/1724","  Scientifique Mathématiques"," ","1","0.5","0","","x","","",""
"1054624","#REF!","461/1724","  Scientifique Mathématiques"," ","1","0","0","X","","","",""
"1060498","#REF!","584/1724","  Scientifique Mathématiques"," ","1","0","0.5","","","","",""
"1076830","#REF!","631/1724","  Scientifique Mathématiques"," ","1","-0.5","0.5","","","","",""
"1078039","#REF!","428/1724","  Scientifique Mathématiques"," ","0.5","0.5","0.5","","","","",""
"1084301","#REF!","487/1724","  Scientifique Mathématiques"," ","0.5","0.5","0.5","","","","",""
"1091062","#REF!","541/1724","  Scientifique Mathématiques"," ","0","0","0","","","","",""
"1143873","#REF!","482/1724","  Scientifique Mathématiques"," ","0","0.5","0.5","","","","",""
"1147328","#REF!","539/1724","  Scientifique Mathématiques"," ","0","0","0","","","","",""
"1184328","#REF!","531/1724","  Scientifique Mathématiques"," ","0.5","1","0.5","","","","",""
"1184614","#REF!","873/1724","  Scientifique Mathématiques"," ","0","0.5","0","x","","","",""
"1208247","#REF!","490/1724","  Scientifique Mathématiques"," ","0","-0.5","0","","","","",""
